Order ID,Order Date,Year,Month,Day,Segment,Category,Sub-Category,Region,Sales,Profit,Quantity,Discount
ORD-00030,2023-12-09,2023,Dec,9,Corporate,Furniture,Furnishings,West,1448.44,222.26,2,0.1
ORD-00031,2023-01-05,2023,Jan,5,Consumer,Office Supplies,Paper,East,275.23,18.1,6,0.1
ORD-00032,2023-02-05,2023,Feb,5,Home Office,Technology,Computers,South,2043.32,398.76,9,0.1
ORD-00033,2023-01-05,2023,Jan,5,Corporate,Technology,Phones,West,907.61,254.54,3,0
ORD-00034,2023-05-20,2023,May,20,Consumer,Furniture,Bookcases,West,1475,245.53,5,0.1
ORD-00035,2023-01-27,2023,Jan,27,Consumer,Technology,Accessories,East,387.07,97.55,5,0
ORD-00036,2023-03-24,2023,Mar,24,Corporate,Technology,Copiers,East,603.19,137.11,6,0
ORD-00037,2023-10-26,2023,Oct,26,Corporate,Technology,Phones,Central,1107.48,357.39,4,0
ORD-00038,2023-12-16,2023,Dec,16,Consumer,Furniture,Furnishings,West,1875.28,494.03,3,0.1
ORD-00039,2023-07-31,2023,Jul,31,Consumer,Office Supplies,Fasteners,South,375.24,38.29,2,0.1
ORD-00040,2023-07-15,2023,Jul,15,Home Office,Office Supplies,Art,West,380.67,-9.74,4,0.4
ORD-00041,2023-04-25,2023,Apr,25,Consumer,Furniture,Bookcases,Central,1772.11,221.18,9,0.1
ORD-00042,2023-07-24,2023,Jul,24,Corporate,Office Supplies,Fasteners,East,115.6,9.04,5,0.1
ORD-00043,2023-01-20,2023,Jan,20,Consumer,Technology,Accessories,South,1589.39,292.45,10,0
ORD-00044,2023-04-08,2023,Apr,8,Consumer,Technology,Phones,West,1106.62,372.04,6,0
ORD-00045,2023-11-16,2023,Nov,16,Consumer,Office Supplies,Labels,Central,324.09,28.73,5,0.2
ORD-00046,2023-10-11,2023,Oct,11,Consumer,Technology,Copiers,West,1607.95,224.53,1,0.1
ORD-00047,2023-06-05,2023,Jun,5,Consumer,Technology,Accessories,South,1261.36,211.93,3,0.1
ORD-00048,2023-12-04,2023,Dec,4,Consumer,Technology,Accessories,East,2012.75,426.01,4,0.1
ORD-00049,2023-04-12,2023,Apr,12,Consumer,Furniture,Furnishings,East,1085.1,243.01,7,0.1
ORD-00050,2023-09-11,2023,Sep,11,Consumer,Furniture,Chairs,East,1627.75,126.13,9,0.1
ORD-00051,2023-08-26,2023,Aug,26,Consumer,Furniture,Chairs,South,544.01,32.77,9,0.4
ORD-00052,2023-11-01,2023,Nov,1,Consumer,Office Supplies,Envelopes,South,385.96,47.18,8,0.4
ORD-00053,2023-08-19,2023,Aug,19,Consumer,Furniture,Bookcases,South,1372.94,204.25,5,0.1
ORD-00054,2023-05-01,2023,May,1,Consumer,Furniture,Chairs,West,573.4,67.3,4,0.3
ORD-00055,2023-02-02,2023,Feb,2,Consumer,Furniture,Furnishings,South,424.61,14.93,10,0.3
ORD-00056,2023-12-23,2023,Dec,23,Consumer,Office Supplies,Supplies,South,74.23,4.5,7,0.2
ORD-00057,2023-08-03,2023,Aug,3,Corporate,Office Supplies,Art,South,154.94,9.47,7,0.3
ORD-00058,2023-06-22,2023,Jun,22,Corporate,Office Supplies,Storage,South,419.59,136.31,10,0
ORD-00059,2023-10-16,2023,Oct,16,Corporate,Furniture,Furnishings,West,1776.31,166.22,7,0
ORD-00060,2023-06-17,2023,Jun,17,Consumer,Furniture,Furnishings,Central,1583.38,-2.99,2,0.3
ORD-00061,2023-08-29,2023,Aug,29,Consumer,Technology,Accessories,West,1677.04,475.68,4,0
ORD-00062,2023-04-13,2023,Apr,13,Home Office,Technology,Computers,West,1324.75,307.7,4,0
ORD-00063,2023-08-27,2023,Aug,27,Corporate,Office Supplies,Storage,East,366.01,124.62,2,0
ORD-00064,2023-10-24,2023,Oct,24,Consumer,Furniture,Furnishings,South,1901.67,96.07,4,0.1
ORD-00065,2023-02-22,2023,Feb,22,Corporate,Furniture,Chairs,East,903.3,98.11,2,0.3
ORD-00066,2023-09-17,2023,Sep,17,Corporate,Furniture,Furnishings,South,497.31,75.4,8,0.2
ORD-00067,2023-12-29,2023,Dec,29,Consumer,Furniture,Bookcases,South,1100.99,128.84,4,0.1
ORD-00068,2023-02-14,2023,Feb,14,Consumer,Technology,Copiers,South,1051.11,115.37,3,0.4
ORD-00069,2023-09-07,2023,Sep,7,Consumer,Office Supplies,Fasteners,Central,404.76,72.88,9,0.1
ORD-00070,2023-04-08,2023,Apr,8,Consumer,Office Supplies,Envelopes,West,333.05,0.34,1,0.4
ORD-00071,2023-02-17,2023,Feb,17,Consumer,Technology,Computers,Central,1704.6,183.72,9,0.2
ORD-00072,2023-06-26,2023,Jun,26,Consumer,Office Supplies,Fasteners,Central,337.68,38.09,4,0.1
ORD-00073,2023-03-03,2023,Mar,3,Corporate,Furniture,Tables,West,683.53,-30.99,10,0.4
ORD-00074,2023-09-26,2023,Sep,26,Corporate,Office Supplies,Art,Central,157.99,25.53,9,0
ORD-00075,2023-03-06,2023,Mar,6,Consumer,Office Supplies,Appliances,Central,335.62,84.65,8,0
ORD-00076,2023-02-22,2023,Feb,22,Home Office,Technology,Copiers,South,1258.74,428.83,5,0
ORD-00077,2023-09-02,2023,Sep,2,Consumer,Furniture,Furnishings,East,1289.4,155.97,10,0
ORD-00078,2023-06-05,2023,Jun,5,Consumer,Furniture,Furnishings,West,1623.17,83.82,8,0.3
ORD-00079,2023-06-02,2023,Jun,2,Home Office,Office Supplies,Labels,East,302.44,101.57,4,0
ORD-00080,2023-11-17,2023,Nov,17,Consumer,Technology,Computers,West,726.76,88.86,7,0
ORD-00081,2023-08-19,2023,Aug,19,Corporate,Technology,Phones,West,954.77,209.86,8,0.1
ORD-00082,2023-02-06,2023,Feb,6,Corporate,Office Supplies,Art,South,115.39,23.64,5,0.1
ORD-00083,2023-03-14,2023,Mar,14,Consumer,Furniture,Bookcases,Central,1057.78,69.75,7,0.4
ORD-00084,2023-05-20,2023,May,20,Consumer,Technology,Phones,East,2154.4,308.08,1,0.2
ORD-00085,2023-02-16,2023,Feb,16,Consumer,Technology,Phones,Central,1529.61,316.68,8,0
ORD-00086,2023-05-23,2023,May,23,Consumer,Technology,Copiers,East,1317.67,26.34,2,0.3
ORD-00087,2023-03-24,2023,Mar,24,Consumer,Technology,Accessories,South,2003.06,406.23,6,0
ORD-00088,2023-05-10,2023,May,10,Consumer,Office Supplies,Supplies,East,320.6,-2.7,4,0.4
ORD-00089,2023-09-23,2023,Sep,23,Consumer,Office Supplies,Envelopes,East,148.95,49.22,8,0
ORD-00090,2023-12-24,2023,Dec,24,Consumer,Furniture,Tables,West,842.06,192.92,2,0
ORD-00091,2023-04-26,2023,Apr,26,Home Office,Office Supplies,Envelopes,East,316.83,67.98,5,0
ORD-00092,2023-09-18,2023,Sep,18,Corporate,Technology,Copiers,South,866.24,159.01,10,0
ORD-00093,2023-09-18,2023,Sep,18,Corporate,Furniture,Chairs,Central,1618.09,35.22,9,0.3
ORD-00094,2023-05-17,2023,May,17,Home Office,Furniture,Bookcases,South,1773.64,45.08,6,0.4
ORD-00095,2023-06-20,2023,Jun,20,Corporate,Technology,Copiers,Central,2114.86,389.95,4,0.1
ORD-00096,2023-07-30,2023,Jul,30,Consumer,Office Supplies,Supplies,South,445.62,95.25,1,0
ORD-00097,2023-03-06,2023,Mar,6,Consumer,Technology,Phones,South,578.92,-67.07,3,0.4
ORD-00098,2023-07-29,2023,Jul,29,Home Office,Office Supplies,Paper,South,367.42,44.61,7,0.1
ORD-00099,2023-11-29,2023,Nov,29,Consumer,Furniture,Furnishings,Central,1373.02,158.64,1,0.4
ORD-00100,2023-11-13,2023,Nov,13,Consumer,Technology,Accessories,West,1869.8,363.02,2,0.3
ORD-00101,2023-08-16,2023,Aug,16,Consumer,Furniture,Chairs,East,864.95,137.71,6,0
ORD-00102,2023-08-09,2023,Aug,9,Consumer,Technology,Computers,West,729.26,70.97,4,0.3
ORD-00103,2023-09-12,2023,Sep,12,Home Office,Furniture,Furnishings,Central,1092.08,352.42,8,0
ORD-00104,2023-05-28,2023,May,28,Corporate,Furniture,Furnishings,Central,1979.25,400.82,7,0.1
ORD-00105,2023-12-20,2023,Dec,20,Consumer,Office Supplies,Art,South,394.56,56.83,10,0
ORD-00106,2023-07-03,2023,Jul,3,Corporate,Office Supplies,Labels,East,441.66,1.82,10,0.3
ORD-00107,2023-12-18,2023,Dec,18,Corporate,Office Supplies,Envelopes,Central,365.23,70.82,6,0.1
ORD-00108,2023-04-23,2023,Apr,23,Corporate,Technology,Computers,East,2182.29,356.61,8,0
ORD-00109,2023-01-18,2023,Jan,18,Corporate,Office Supplies,Paper,Central,195.5,-4.41,3,0.3
ORD-00110,2023-10-04,2023,Oct,4,Home Office,Technology,Accessories,West,892.66,126.04,5,0.4
ORD-00111,2023-06-23,2023,Jun,23,Corporate,Technology,Phones,West,1884.53,494.2,7,0.1
ORD-00112,2023-10-13,2023,Oct,13,Consumer,Office Supplies,Binders,Central,274.82,-5.63,5,0.4
ORD-00113,2023-10-27,2023,Oct,27,Consumer,Technology,Accessories,East,1726.3,-195.49,9,0.4
ORD-00114,2023-06-17,2023,Jun,17,Home Office,Furniture,Chairs,South,1847.77,379.34,2,0.1
ORD-00115,2023-03-13,2023,Mar,13,Consumer,Furniture,Furnishings,East,483.28,89.38,6,0
ORD-00116,2023-12-10,2023,Dec,10,Home Office,Technology,Copiers,West,2146.4,654.86,10,0
ORD-00117,2023-07-28,2023,Jul,28,Home Office,Furniture,Bookcases,West,1064.88,277.9,2,0.1
ORD-00118,2023-12-18,2023,Dec,18,Consumer,Office Supplies,Fasteners,East,222.5,64.84,8,0.1
ORD-00119,2023-02-16,2023,Feb,16,Corporate,Technology,Phones,East,1949.66,579.01,10,0.1
ORD-00120,2023-04-16,2023,Apr,16,Consumer,Office Supplies,Art,West,379.33,45.03,3,0.1
ORD-00121,2023-11-02,2023,Nov,2,Consumer,Office Supplies,Storage,West,276.2,30.29,1,0
ORD-00122,2023-03-09,2023,Mar,9,Consumer,Office Supplies,Art,Central,77.97,3.44,7,0.1
ORD-00123,2023-09-27,2023,Sep,27,Consumer,Furniture,Furnishings,Central,1182.24,238.86,4,0
ORD-00124,2023-11-11,2023,Nov,11,Consumer,Office Supplies,Appliances,Central,245.14,23.64,8,0
ORD-00125,2023-07-25,2023,Jul,25,Consumer,Furniture,Furnishings,East,1830.77,264.07,2,0.2
ORD-00126,2023-03-06,2023,Mar,6,Consumer,Technology,Accessories,South,2364.28,360.56,10,0.1
ORD-00127,2023-08-09,2023,Aug,9,Consumer,Technology,Computers,South,1280.85,181.53,8,0.1
ORD-00128,2023-07-24,2023,Jul,24,Consumer,Furniture,Furnishings,Central,1437.38,341.33,8,0.2
ORD-00129,2023-02-04,2023,Feb,4,Consumer,Furniture,Furnishings,East,1570.91,312.89,9,0.2
ORD-00130,2023-01-31,2023,Jan,31,Corporate,Technology,Accessories,East,1199.56,197.19,1,0.3
ORD-00131,2023-05-28,2023,May,28,Corporate,Technology,Computers,West,1690.19,437.36,6,0.1
ORD-00132,2023-10-12,2023,Oct,12,Consumer,Office Supplies,Art,South,391.47,95.69,5,0
ORD-00133,2023-01-15,2023,Jan,15,Consumer,Technology,Accessories,Central,1080.29,340.14,10,0
ORD-00134,2023-12-03,2023,Dec,3,Consumer,Furniture,Chairs,East,1573.47,207.03,8,0.1
ORD-00135,2023-06-24,2023,Jun,24,Consumer,Furniture,Bookcases,East,1804.01,220.99,10,0
ORD-00136,2023-01-26,2023,Jan,26,Corporate,Furniture,Furnishings,South,1339.89,5.03,9,0.3
ORD-00137,2023-02-28,2023,Feb,28,Consumer,Furniture,Furnishings,Central,396.3,77.6,1,0.3
ORD-00138,2023-01-04,2023,Jan,4,Consumer,Office Supplies,Storage,Central,181.41,14.89,7,0
ORD-00139,2023-03-31,2023,Mar,31,Consumer,Technology,Computers,Central,523.79,103.59,8,0
ORD-00140,2023-02-09,2023,Feb,9,Home Office,Technology,Copiers,South,957.58,-61.64,6,0.3
ORD-00141,2023-03-29,2023,Mar,29,Corporate,Technology,Accessories,East,1251.24,182.3,10,0
ORD-00142,2023-07-25,2023,Jul,25,Corporate,Technology,Accessories,Central,822.04,82.72,2,0
ORD-00143,2023-09-29,2023,Sep,29,Consumer,Office Supplies,Fasteners,Central,346.95,49.89,3,0
ORD-00144,2023-05-12,2023,May,12,Consumer,Technology,Phones,West,2277.83,12,10,0.4
ORD-00145,2023-10-24,2023,Oct,24,Consumer,Office Supplies,Fasteners,Central,129.06,26.66,5,0
ORD-00146,2023-05-21,2023,May,21,Corporate,Technology,Phones,Central,1301.18,124.08,5,0
ORD-00147,2023-02-09,2023,Feb,9,Corporate,Office Supplies,Paper,South,246.91,49.73,10,0
ORD-00148,2023-11-30,2023,Nov,30,Consumer,Technology,Computers,East,1278.79,313.62,2,0.2
ORD-00149,2023-09-16,2023,Sep,16,Corporate,Furniture,Furnishings,South,1200.44,213.98,5,0
ORD-00150,2023-07-18,2023,Jul,18,Consumer,Furniture,Chairs,Central,430.73,99.35,7,0
ORD-00151,2023-05-26,2023,May,26,Consumer,Office Supplies,Storage,Central,102.81,33.67,5,0
ORD-00152,2023-12-02,2023,Dec,2,Corporate,Technology,Phones,Central,1495.05,298.35,9,0.2
ORD-00153,2023-02-17,2023,Feb,17,Corporate,Technology,Accessories,East,1103.38,371.64,6,0
ORD-00154,2023-09-06,2023,Sep,6,Consumer,Office Supplies,Storage,East,183.81,39.9,9,0
ORD-00155,2023-09-27,2023,Sep,27,Consumer,Furniture,Tables,South,579.14,176.33,10,0
ORD-00156,2023-03-26,2023,Mar,26,Corporate,Furniture,Bookcases,West,1948.91,454.38,8,0.1
ORD-00157,2023-04-30,2023,Apr,30,Corporate,Furniture,Furnishings,West,937.97,4.36,5,0.4
ORD-00158,2023-07-15,2023,Jul,15,Consumer,Technology,Computers,West,1978.51,624.64,1,0
ORD-00159,2023-11-25,2023,Nov,25,Consumer,Technology,Phones,East,948.7,145.77,9,0
ORD-00160,2023-03-17,2023,Mar,17,Home Office,Furniture,Tables,South,1806.18,346.83,7,0
ORD-00161,2023-09-15,2023,Sep,15,Consumer,Technology,Phones,Central,827.95,191.52,6,0.2
ORD-00162,2023-03-16,2023,Mar,16,Consumer,Furniture,Furnishings,West,1594.85,1.79,1,0.4
ORD-00163,2023-02-10,2023,Feb,10,Consumer,Furniture,Tables,South,506.79,47.72,2,0.1
ORD-00164,2023-01-25,2023,Jan,25,Consumer,Technology,Copiers,East,601.16,24.72,1,0.4
ORD-00165,2023-11-20,2023,Nov,20,Consumer,Furniture,Tables,Central,1041.12,46.8,7,0.2
ORD-00166,2023-04-06,2023,Apr,6,Corporate,Furniture,Bookcases,East,1921.72,356.33,8,0
ORD-00167,2023-01-23,2023,Jan,23,Corporate,Office Supplies,Labels,East,206.98,35.83,2,0
ORD-00168,2023-10-25,2023,Oct,25,Corporate,Furniture,Chairs,Central,1237.3,376.39,8,0
ORD-00169,2023-12-23,2023,Dec,23,Consumer,Furniture,Tables,East,1522.96,-167.55,4,0.4
ORD-00170,2023-01-23,2023,Jan,23,Corporate,Office Supplies,Fasteners,Central,266.81,-13.77,4,0.4
ORD-00171,2023-05-27,2023,May,27,Consumer,Office Supplies,Fasteners,Central,119.05,11.66,7,0.2
ORD-00172,2023-08-14,2023,Aug,14,Home Office,Technology,Computers,South,1760.68,404.19,9,0.2
ORD-00173,2023-05-17,2023,May,17,Corporate,Office Supplies,Paper,South,299.73,68.12,6,0
ORD-00174,2023-02-22,2023,Feb,22,Consumer,Technology,Accessories,South,1582.23,-39.57,8,0.3
ORD-00175,2023-06-29,2023,Jun,29,Consumer,Office Supplies,Fasteners,South,175.78,17.62,7,0
ORD-00176,2023-07-06,2023,Jul,6,Consumer,Office Supplies,Storage,East,125.97,-13.93,2,0.4
ORD-00177,2023-05-01,2023,May,1,Corporate,Technology,Copiers,East,1587.16,216.14,6,0.4
ORD-00178,2023-08-16,2023,Aug,16,Corporate,Technology,Accessories,South,1007.2,98.1,2,0.1
ORD-00179,2023-01-14,2023,Jan,14,Corporate,Technology,Copiers,East,902.24,198.57,4,0.1
ORD-00180,2023-11-10,2023,Nov,10,Consumer,Office Supplies,Envelopes,West,118.36,23.91,8,0
ORD-00181,2023-02-14,2023,Feb,14,Corporate,Office Supplies,Fasteners,Central,340.21,92.08,3,0.1
ORD-00182,2023-12-31,2023,Dec,31,Corporate,Technology,Computers,Central,1394.97,482.64,3,0
ORD-00183,2023-05-02,2023,May,2,Corporate,Furniture,Bookcases,South,1670.15,409.56,2,0
ORD-00184,2023-02-03,2023,Feb,3,Consumer,Office Supplies,Envelopes,South,362.74,41.29,6,0
ORD-00185,2023-11-25,2023,Nov,25,Consumer,Technology,Accessories,West,2131.53,612.39,3,0
ORD-00186,2023-08-10,2023,Aug,10,Consumer,Office Supplies,Paper,West,186.96,31.24,4,0
ORD-00187,2023-06-27,2023,Jun,27,Home Office,Technology,Accessories,East,879.96,56.14,5,0.1
ORD-00188,2023-11-11,2023,Nov,11,Corporate,Technology,Computers,West,721.55,149.71,10,0.2
ORD-00189,2023-01-22,2023,Jan,22,Home Office,Furniture,Chairs,Central,1413.9,136.99,1,0.3
ORD-00190,2023-09-12,2023,Sep,12,Home Office,Technology,Accessories,South,868.53,8.95,2,0.3
ORD-00191,2023-12-19,2023,Dec,19,Consumer,Technology,Copiers,South,787.03,129.39,6,0
ORD-00192,2023-06-26,2023,Jun,26,Home Office,Furniture,Bookcases,East,856.11,-74.41,8,0.4
ORD-00193,2023-05-07,2023,May,7,Consumer,Furniture,Furnishings,South,737.09,220.86,10,0
ORD-00194,2023-06-10,2023,Jun,10,Consumer,Furniture,Furnishings,South,1796.85,-204.38,7,0.4
ORD-00195,2023-09-16,2023,Sep,16,Consumer,Furniture,Bookcases,East,404.91,16.73,8,0.4
ORD-00196,2023-05-27,2023,May,27,Corporate,Office Supplies,Supplies,West,405.57,75.53,6,0.2
ORD-00197,2023-01-24,2023,Jan,24,Consumer,Technology,Computers,Central,1483.68,273.46,8,0
ORD-00198,2023-10-09,2023,Oct,9,Consumer,Office Supplies,Paper,West,440.58,13.55,6,0.3
ORD-00199,2023-10-13,2023,Oct,13,Home Office,Office Supplies,Art,South,261.03,23.62,6,0
ORD-00200,2023-08-31,2023,Aug,31,Consumer,Furniture,Tables,Central,1884.7,45,10,0.2
ORD-00201,2023-06-03,2023,Jun,3,Corporate,Technology,Copiers,Central,1327.41,238.21,2,0
ORD-00202,2023-08-02,2023,Aug,2,Corporate,Office Supplies,Binders,South,172.37,38.74,10,0.1
ORD-00203,2023-09-03,2023,Sep,3,Consumer,Technology,Copiers,West,2019.21,77.79,2,0.1
ORD-00204,2023-04-08,2023,Apr,8,Consumer,Furniture,Tables,South,1480.04,96.93,10,0.3
ORD-00205,2023-08-30,2023,Aug,30,Home Office,Office Supplies,Binders,West,268.06,66.88,8,0.2
ORD-00206,2023-09-27,2023,Sep,27,Consumer,Office Supplies,Envelopes,Central,278.49,54.23,4,0.1
ORD-00207,2023-05-07,2023,May,7,Consumer,Furniture,Bookcases,Central,1504.23,-51.74,6,0.4
ORD-00208,2023-10-14,2023,Oct,14,Home Office,Office Supplies,Labels,Central,118.07,20.29,7,0.3
ORD-00209,2023-06-26,2023,Jun,26,Home Office,Office Supplies,Labels,East,180.72,31.36,8,0
ORD-00210,2023-12-02,2023,Dec,2,Consumer,Technology,Computers,Central,2241.38,150.32,10,0.1
ORD-00211,2023-10-28,2023,Oct,28,Consumer,Furniture,Tables,West,408.19,7.83,8,0.3
ORD-00212,2023-02-21,2023,Feb,21,Corporate,Furniture,Tables,South,1416.86,12.63,4,0.4
ORD-00213,2023-05-28,2023,May,28,Consumer,Technology,Phones,West,1447.63,472.76,3,0
ORD-00214,2023-08-02,2023,Aug,2,Home Office,Furniture,Chairs,South,1643.77,547.19,5,0
ORD-00215,2023-01-20,2023,Jan,20,Consumer,Technology,Phones,Central,947.7,113.82,3,0.4
ORD-00216,2023-09-16,2023,Sep,16,Consumer,Furniture,Chairs,Central,592.99,32.64,3,0.4
ORD-00217,2023-01-08,2023,Jan,8,Corporate,Office Supplies,Art,West,302.94,46.44,9,0.3
ORD-00218,2023-06-17,2023,Jun,17,Consumer,Technology,Computers,West,1332.52,42.43,7,0.1
ORD-00219,2023-05-01,2023,May,1,Consumer,Furniture,Bookcases,Central,1298.53,195.58,6,0
ORD-00220,2023-12-21,2023,Dec,21,Consumer,Technology,Copiers,Central,698.64,151.17,5,0.1
ORD-00221,2023-07-08,2023,Jul,8,Corporate,Furniture,Tables,South,577.35,53.28,9,0.2
ORD-00222,2023-08-30,2023,Aug,30,Corporate,Office Supplies,Art,West,329.17,73.04,9,0
ORD-00223,2023-12-27,2023,Dec,27,Consumer,Office Supplies,Paper,East,385.28,71.13,3,0.1
ORD-00224,2023-03-26,2023,Mar,26,Consumer,Technology,Phones,West,1810.25,-172.78,9,0.4
ORD-00225,2023-08-17,2023,Aug,17,Corporate,Technology,Copiers,South,1505,92.78,5,0.4
ORD-00226,2023-01-12,2023,Jan,12,Consumer,Office Supplies,Art,East,89.12,15.07,9,0.2
ORD-00227,2023-01-31,2023,Jan,31,Home Office,Furniture,Furnishings,East,802.31,230.76,7,0
ORD-00228,2023-07-11,2023,Jul,11,Home Office,Technology,Copiers,South,540.1,138.51,6,0
ORD-00229,2023-03-02,2023,Mar,2,Consumer,Technology,Computers,West,2045.47,704.04,8,0
ORD-00230,2023-12-11,2023,Dec,11,Corporate,Technology,Copiers,West,873.79,19.12,4,0.2
ORD-00231,2023-02-27,2023,Feb,27,Consumer,Technology,Phones,West,791.13,190.16,8,0
ORD-00232,2023-11-03,2023,Nov,3,Corporate,Office Supplies,Art,East,224.06,39.38,1,0.1
ORD-00233,2023-03-13,2023,Mar,13,Consumer,Furniture,Bookcases,Central,718,248.53,9,0
ORD-00234,2023-04-24,2023,Apr,24,Consumer,Furniture,Tables,South,1253.83,429.46,7,0
ORD-00235,2023-09-26,2023,Sep,26,Consumer,Technology,Computers,Central,1131.04,-62.14,4,0.4
ORD-00236,2023-06-03,2023,Jun,3,Home Office,Furniture,Furnishings,East,1264.81,101.78,3,0.3
ORD-00237,2023-07-18,2023,Jul,18,Consumer,Furniture,Chairs,South,1743.18,391.56,4,0
ORD-00238,2023-01-27,2023,Jan,27,Consumer,Technology,Phones,East,755.39,120.44,6,0.1
ORD-00239,2023-06-05,2023,Jun,5,Home Office,Furniture,Tables,East,1574.76,199.84,10,0.4
ORD-00240,2023-12-27,2023,Dec,27,Consumer,Office Supplies,Appliances,Central,365.14,20.41,6,0.3
ORD-00241,2023-06-07,2023,Jun,7,Consumer,Technology,Copiers,South,576.72,49.39,6,0.4
ORD-00242,2023-04-15,2023,Apr,15,Consumer,Technology,Computers,West,412.36,4,4,0.3
ORD-00243,2023-06-18,2023,Jun,18,Consumer,Technology,Computers,South,1478.53,73.16,8,0.2
ORD-00244,2023-11-25,2023,Nov,25,Corporate,Technology,Accessories,West,659.22,-46.35,9,0.4
ORD-00245,2023-11-25,2023,Nov,25,Home Office,Technology,Phones,East,1904.86,-62.63,4,0.3
ORD-00246,2023-02-04,2023,Feb,4,Corporate,Furniture,Furnishings,Central,421.56,24.45,1,0.4
ORD-00247,2023-01-04,2023,Jan,4,Corporate,Technology,Phones,Central,1448.8,50.17,7,0.1
ORD-00248,2023-04-02,2023,Apr,2,Consumer,Furniture,Tables,West,642.45,160.68,5,0.1
ORD-00249,2023-07-23,2023,Jul,23,Consumer,Office Supplies,Envelopes,West,446.31,49.54,2,0.1
ORD-00250,2023-12-01,2023,Dec,1,Home Office,Technology,Phones,East,1188.53,94.17,1,0.3
ORD-00251,2023-11-23,2023,Nov,23,Consumer,Furniture,Furnishings,South,1403.44,186.35,2,0.2
ORD-00252,2023-09-28,2023,Sep,28,Home Office,Furniture,Furnishings,Central,398.22,105.45,5,0
ORD-00253,2023-10-06,2023,Oct,6,Corporate,Furniture,Bookcases,East,1935.27,547.89,7,0
ORD-00254,2023-02-09,2023,Feb,9,Consumer,Technology,Copiers,Central,1145.77,336.21,2,0
ORD-00255,2023-09-14,2023,Sep,14,Corporate,Furniture,Chairs,South,710,122.09,10,0
ORD-00256,2023-11-01,2023,Nov,1,Consumer,Office Supplies,Binders,Central,368.18,4.59,6,0.4
ORD-00257,2023-10-11,2023,Oct,11,Home Office,Technology,Copiers,East,1920.47,471.43,2,0.1
ORD-00258,2023-02-12,2023,Feb,12,Consumer,Technology,Computers,South,1011.77,105.94,5,0
